model,accuracy,precision,recall,f1_score,roc_auc
Random Forest,0.8676771814829988,0.5514834205933682,0.8272251308900523,0.6617801047120419,0.9281191754244551
Logistic Regression,0.8463744367062679,0.5058236272878536,0.7958115183246073,0.6185147507629705,0.9083375501247237
Decision Tree,0.8373617369930356,0.4883720930232558,0.824607329842932,0.6134371957156767,0.9095949591755261
